opponent,win,goals_for,goals_against,circle_entries,positive_circle_entries,circle_outcome_rate,defensive_recovery_rate,press_success_rate,outlet_success_rate,sog_percentage,shots
WM,1,5,0,41,25,0.609,0.83,,,0.7691,21
Umass,1,3,1,37,15,0.4054,0.58,,,0.8125,16
Northwestern,0,0,2,21,11,0.524,0.24,0.588,0.588,0.8875,16
Maryland,1,1,0,15,4,0.267,0.53,0.333,0.684,0.6666,3
ODU,1,2,0,16,6,0.375,0.54,0.47,0.66,0.8888,9
Liberty,0,0,1,29,10,0.345,0.63,0.54,0.5,0.5,8
SJU,0,0,1,33,8,0.242,0.3,0.54,0.47,0.5555,9
UVA,0,0,1,18,6,0.333,0.58,0.45,0.66,0.75,4
Syracuse,1,1,0,43,17,0.395,0.51,0.51,0.61,0.8666,15
Cal,1,4,0,25,6,0.24,0.36,0.62,0.5,1,8
Stanford,1,3,0,9,5,0.556,0.9,0.5,0.8,1,10
Wake,1,2,0,16,9,0.563,0.64,0.5,0.73,0.7272,11
Louisville,1,3,0,26,11,0.423,0.42,0.58,0.53,0.8888,9
VCU,1,4,0,28,12,0.429,0.45,0.44,0.67,0.7272,11
